accuracy,accuracy-train,model,call,features,train data,test data,time
0.8881128748,0.9086427355,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn,train,test,2016-12-04 22:54:58
0.8872663139,0.9428442194,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn,train,test,2016-12-04 23:00:03
0.8871252205,0.9076696771,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn ahp anad ap ar bpahal bpbhal bwahal bwanal bwbhal bwbnal,train,test,2016-12-04 23:08:27
0.8887477954,0.9219462689,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad ap ar bpahal bpbhal bwahal bwanal bwbhal bwbnal,train,test,2016-12-04 23:12:42
0.893686067,0.9220146871,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn bpahal bpbhal bwahal bwanal bwbhal bwbnal,train,test,2016-12-04 23:19:46
0.8946031746,0.9563187983,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn bpahal bpbhal bwahal bwanal bwbhal bwbnal,train,test,2016-12-04 23:25:24
0.8969312169,0.9241356504,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn anad ap apah apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal,train,test,2016-12-04 23:34:40
0.8951675485,0.9593215958,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn anad ap apah apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal,train,test,2016-12-04 23:40:48
0.8987654321,0.9245423585,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn anad ap apah apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal ccb,train,test,2016-12-04 23:52:09
0.8961552028,0.9591923615,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn anad ap apah apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal ccb,train,test,2016-12-04 23:57:44
0.8997530864,0.9259981451,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn anad ap apah apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal ccb dhfe,train,test,2016-12-05 00:45:56
0.8997530864,0.9597511099,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn anad ap apah apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal ccb dhfe,train,test,2016-12-05 01:10:27
0.9018694885,0.9265340875,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn anad ap apah apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal ccb dhfe ekg5ln,train,test,2016-12-21 21:33:48
0.9024338624,0.9600437876,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn anad ap apah apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal ccb dhfe ekg5ln,train,test,2016-12-21 21:52:58
